node_id,drnl_label
0,17
1,9
2,17
3,9
4,10
5,9
6,13
7,9
8,5
9,9
10,5
11,998002
12,10
13,17
14,17
15,9
16,17
17,1
18,21
19,17
20,998002
21,9
22,9
23,31
24,17
25,998002
26,9
27,5
28,9
29,9
30,5
31,17
32,9
33,13
34,17
35,17
36,9
37,9
38,13
39,25
40,7
41,1
42,17
43,998002
44,5
45,1
46,17
47,9
48,10
49,7
50,17
51,7
52,17
53,17
54,17
55,13
56,10
57,5
58,9
59,13
60,10
61,26
62,10
63,10
64,10
65,10
66,6
67,26
68,26
69,4
70,10
71,5
72,10
73,4
74,10
75,13
76,10
77,10
78,5
79,10
80,7
81,10
82,10
83,4
84,10
85,10
86,4
87,4
88,3
89,16
90,13
91,10
92,13
93,4
94,2
95,10
96,10
97,4
98,21
99,17
100,10
101,4
102,7
103,10
104,4
105,13
106,4
107,12
108,5
109,10
110,9
111,13
112,9
113,17
114,7
115,17
116,17
117,17
118,6
119,1
120,21
121,1
122,10
123,7
124,5
125,9
126,12
127,17
128,5
129,1
130,13
131,9
132,17
133,2
134,17
135,17
136,17
137,13
138,17
139,9
140,17
141,17
142,13
143,9
144,37
145,9
146,5
147,17
148,9
149,9
150,16
151,26
152,26
153,10
154,21
155,26
156,26
157,12
158,13
159,50
160,26
161,26
162,1
163,26
164,16
165,20
166,16
167,26
168,10
169,26
170,10
171,12
172,16
173,26
174,10
175,26
176,1
177,5
178,26
179,26
180,10
181,26
182,26
183,21
184,1
185,26
186,13
187,26
188,26
189,1
190,10
191,13
192,16
193,26
194,16
195,26
196,13
197,26
198,16
199,16
