Model,Class,Precision,Recall,F1 Score
GAT,Failed,0.8937914783110512,0.8434344580336276,0.8678831179444074
GAT,Degraded,0.6841408430544622,0.6923661910625045,0.6882289416846652
GAT,Normal,0.6993119601815254,0.7590672545981806,0.7279654075470979
GCN,Failed,0.8746716872370592,0.8538721608313857,0.8641467839345994
GCN,Degraded,0.6870601173020527,0.6787499094662128,0.682879731846832
GCN,Normal,0.7078892863867445,0.7467524728876177,0.7268017321373338
GraphSAGE,Failed,0.8883622592411886,0.8676000090762633,0.8778583892001102
GraphSAGE,Degraded,0.7056143989334124,0.6899760990801768,0.6977076314633075
GraphSAGE,Normal,0.7248181987693455,0.772097088150002,0.7477110102331307
GIN,Failed,0.8981980041639744,0.8516484763222981,0.8743040834866873
GIN,Degraded,0.7034818284137531,0.7016730643876294,0.7025762822488533
GIN,Normal,0.7120749782040104,0.778691455130497,0.743894802755166
TransformerConv,Failed,0.8901492118433977,0.8636291438814641,0.8766886639256469
TransformerConv,Degraded,0.6921954517954375,0.7043528644890273,0.6982212410029975
TransformerConv,Normal,0.7228568131994924,0.7466332975807413,0.7345527025442607
GINE,Failed,0.8940611478293947,0.8533048943749858,0.8732077136521427
GINE,Degraded,0.6842581318490172,0.7122836242485696,0.6979896733440977
GINE,Normal,0.7254999808068788,0.7508044333214158,0.7379353428080587
